Prompt,Ground-truth,PolyNC_prediction
Predict the Tg of the following SMILES: *c1ccc2c(c1)C(=O)N(c1cccc(Cc3ccc(N4C(=O)c5ccc(C(=O)*)cc5C4=O)cc3)c1)C2=O,292,289
Predict the Tg of the following SMILES: c1cc2c(cc1C(=O)*)C(=O)N(c1ccc(Cc3cccc(N4C(=O)c5c(ccc(*)c5)C4=O)c3)cc1)C2=O,292,285
Predict the Tg of the following SMILES: O=C1N(c2ccc(Oc3cccc(Oc4ccc(N5C(=O)c6c(ccc(*)c6)C5=O)cc4)c3)cc2)C(=O)c2cc(Oc3ccc(Sc4cccc(O*)c4)cc3)ccc21,219,224
Predict the Tg of the following SMILES: N1(c2ccc(Oc3cc(Oc4ccc(N5C(=O)c6c(ccc(Oc7ccc(Sc8cc(O*)ccc8)cc7)c6)C5=O)cc4)ccc3)cc2)C(=O)c2c(ccc(*)c2)C1=O,219,226.85
Predict the Tg of the following SMILES: c1c(Oc2ccc(Sc3cccc(O*)c3)cc2)cc2c(c1)C(=O)N(c1ccc(Oc3cc(Oc4ccc(N5C(=O)c6c(ccc(*)c6)C5=O)cc4)ccc3)cc1)C2=O,219,226.85
Predict the Tg of the following SMILES: c1c(Sc2cc(O*)ccc2)ccc(Oc2ccc3c(c2)C(=O)N(c2ccc(Oc4cc(Oc5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)ccc4)cc2)C3=O)c1,219,206
Predict the Tg of the following SMILES: c1ccc(O*)cc1Sc1ccc(Oc2cc3c(cc2)C(=O)N(c2ccc(Oc4cc(Oc5ccc(N6C(=O)c7c(cc(*)cc7)C6=O)cc5)ccc4)cc2)C3=O)cc1,219,206
Predict the Tg of the following SMILES: c1c(Oc2cccc(Oc3ccc(N4C(=O)c5cc(Oc6ccc(Sc7cccc(O*)c7)cc6)ccc5C4=O)cc3)c2)ccc(N2C(=O)c3cc(*)ccc3C2=O)c1,219,224
Predict the Tg of the following SMILES: c1c2c(cc(*)c1)C(=O)N(c1ccc(Oc3cccc(Oc4ccc(N5C(=O)c6ccc(Oc7ccc(Sc8cc(O*)ccc8)cc7)cc6C5=O)cc4)c3)cc1)C2=O,219,226.85
Predict the Tg of the following SMILES: c1cc2c(cc1Oc1ccc(Sc3cccc(O*)c3)cc1)C(=O)N(c1ccc(Oc3cccc(Oc4ccc(N5C(=O)c6c(cc(*)cc6)C5=O)cc4)c3)cc1)C2=O,219,226.85
Predict the Tg of the following SMILES: c1(Oc2cc3c(cc2)C(=O)N(c2ccc(Oc4cc(Oc5ccc(N6C(=O)c7c(ccc(*)c7)C6=O)cc5)ccc4)cc2)C3=O)ccc(Sc2cc(O*)ccc2)cc1,219,198
Predict the Tg of the following SMILES: c1(Oc2ccc(N3C(=O)c4c(ccc(*)c4)C3=O)cc2)cc(Oc2ccc(N3C(=O)c4c(cc(Oc5ccc(Sc6cccc(O*)c6)cc5)cc4)C3=O)cc2)ccc1,219,224
Predict the Tg of the following SMILES: c12ccc(*)cc1C(=O)N(c1c(CC)cc(Cc3cc(CC)c(N4C(=O)c5c(ccc(C(=O)*)c5)C4=O)c(CC)c3Cl)c(Cl)c1CC)C2=O,300,315
Predict the Tg of the following SMILES: c1c2c(cc(*)c1)C(=O)N(c1c(CC)c(Cl)c(Cc3cc(CC)c(N4C(=O)c5c(cc(C(=O)*)cc5)C4=O)c(CC)c3Cl)cc1CC)C2=O,300,315
Predict the Tg of the following SMILES: c1(Cl)c(CC)c(N2C(=O)c3cc(C(*)=O)ccc3C2=O)c(CC)cc1Cc1cc(CC)c(N2C(=O)c3c(ccc(*)c3)C2=O)c(CC)c1Cl,300,285
Predict the Tg of the following SMILES: CCc1c(N2C(=O)c3ccc(C(=O)*)cc3C2=O)c(CC)cc(Cc2c(Cl)c(CC)c(N3C(=O)c4cc(*)ccc4C3=O)c(CC)c2)c1Cl,300,293
Predict the Tg of the following SMILES: C1(=O)c2c(ccc(*)c2)C(=O)N1c1c(CC)c(Cl)c(Cc2cc(CC)c(N3C(=O)c4cc(C(*)=O)ccc4C3=O)c(CC)c2Cl)cc1CC,300,285
Predict the Tg of the following SMILES: C(c1cc(CC)c(N2C(=O)c3c(cc(C(*)=O)cc3)C2=O)c(CC)c1Cl)c1cc(CC)c(N2C(=O)c3ccc(*)cc3C2=O)c(CC)c1Cl,300,285
Predict the Tg of the following SMILES: *c1ccc2c(c1)C(=O)N(c1c(CC)c(Cl)c(Cc3cc(CC)c(N4C(=O)c5c(cc(C(*)=O)cc5)C4=O)c(CC)c3Cl)cc1CC)C2=O,300,315
Predict the Tg of the following SMILES: c1(C(=O)*)cc2c(cc1)C(=O)N(c1c(CC)c(Cl)c(Cc3c(Cl)c(CC)c(N4C(=O)c5cc(*)ccc5C4=O)c(CC)c3)cc1CC)C2=O,300,315
Predict the Tg of the following SMILES: C1(=O)c2cc(C(=O)*)ccc2C(=O)N1c1c(CC)c(Cl)c(Cc2c(Cl)c(CC)c(N3C(=O)c4ccc(*)cc4C3=O)c(CC)c2)cc1CC,300,285
Predict the Tg of the following SMILES: c1c(*)cc2c(c1)C(=O)N(c1c(CC)cc(Cc3c(Cl)c(CC)c(N4C(=O)c5c(ccc(C(*)=O)c5)C4=O)c(CC)c3)c(Cl)c1CC)C2=O,300,285
Predict the Tg of the following SMILES: FC(F)(F)C(C(F)(F)F)(c1cc2c(cc1)C(=O)N(c1cc(C)c(N3C(=O)c4cc(*)ccc4C3=O)cc1C)C2=O)*,379,341
Predict the Tg of the following SMILES: c1(C)cc(N2C(=O)c3cc(*)ccc3C2=O)c(C)cc1N1C(=O)c2ccc(C(C(F)(F)F)(*)C(F)(F)F)cc2C1=O,379,325
Predict the Tg of the following SMILES: C(F)(F)(C(C(F)(F)F)(*)c1ccc2c(c1)C(=O)N(c1cc(C)c(N3C(=O)c4c(cc(*)cc4)C3=O)cc1C)C2=O)F,379,341
Predict the Tg of the following SMILES: O=C1c2cc(*)ccc2C(=O)N1c1cc(C)c(N2C(=O)c3c(cc(C(C(F)(F)F)(C(F)(F)F)*)cc3)C2=O)cc1C,379,343
Predict the Tg of the following SMILES: C1(=O)N(c2c(C)cc(N3C(=O)c4cc(C(*)(C(F)(F)F)C(F)(F)F)ccc4C3=O)c(C)c2)C(=O)c2cc(*)ccc21,379,335
Predict the Tg of the following SMILES: c1(C)c(N2C(=O)c3c(ccc(*)c3)C2=O)cc(C)c(N2C(=O)c3ccc(C(C(F)(F)F)(C(F)(F)F)*)cc3C2=O)c1,379,326
Predict the Tg of the following SMILES: FC(F)(C(*)(C(F)(F)F)c1ccc2c(c1)C(=O)N(c1c(C)cc(N3C(=O)c4c(ccc(*)c4)C3=O)c(C)c1)C2=O)F,379,341
Predict the Tg of the following SMILES: C1(=O)c2cc(*)ccc2C(=O)N1c1cc(C)c(N2C(=O)c3c(cc(C(C(F)(F)F)(*)C(F)(F)F)cc3)C2=O)cc1C,379,343
Predict the Tg of the following SMILES: Cc1c(N2C(=O)c3cc(*)ccc3C2=O)cc(C)c(N2C(=O)c3cc(C(*)(C(F)(F)F)C(F)(F)F)ccc3C2=O)c1,379,325
Predict the Tg of the following SMILES: c1c(C(C(F)(F)F)(*)C(F)(F)F)cc2c(c1)C(=O)N(c1cc(C)c(N3C(=O)c4c(cc(*)cc4)C3=O)cc1C)C2=O,379,311
Predict the Tg of the following SMILES: c1ccc(N2C(=O)c3cc4c(cc3C2=O)CN(*)C4=O)c(Oc2ccc(*)cc2)c1,386,287
Predict the Tg of the following SMILES: *c1ccc(Oc2c(N3C(=O)c4cc5c(cc4C3=O)CN(*)C5=O)cccc2)cc1,386,190
Predict the Tg of the following SMILES: c12cc3c(cc1C(=O)N(c1c(Oc4ccc(*)cc4)cccc1)C2=O)C(=O)N(*)C3,386,333
Predict the Tg of the following SMILES: c1cccc(Oc2ccc(*)cc2)c1N1C(=O)c2c(cc3c(c2)CN(*)C3=O)C1=O,386,312
Predict the Tg of the following SMILES: O=C1c2cc3c(cc2C(=O)N1c1ccccc1Oc1ccc(*)cc1)CN(*)C3=O,386,310.85
Predict the Tg of the following SMILES: c1cc(N2C(=O)c3cc4c(cc3C2=O)C(=O)N(*)C4)c(Oc2ccc(*)cc2)cc1,386,310
Predict the Tg of the following SMILES: c12cc3c(cc1C(=O)N(c1c(Oc4ccc(*)cc4)cccc1)C2=O)C(=O)N(*)C3,386,333
Predict the Tg of the following SMILES: N1(*)Cc2c(cc3c(c2)C(=O)N(c2ccccc2Oc2ccc(*)cc2)C3=O)C1=O,386,341
Predict the Tg of the following SMILES: c12cc3c(cc1C(=O)N(c1ccccc1Oc1ccc(*)cc1)C2=O)CN(*)C3=O,386,190
Predict the Tg of the following SMILES: O(c1ccc(*)cc1)c1c(N2C(=O)c3cc4c(cc3C2=O)C(=O)N(*)C4)cccc1,386,311
Predict the Tg of the following SMILES: c1cc(C(C(F)(F)F)(*)C(F)(F)F)cc2c1C(=O)N(c1ccc(Oc3ccc(C(c4ccc(Oc5ccc(N6C(=O)c7c(cc(*)cc7)C6=O)cc5)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc1)C2=O,234,226
Predict the Tg of the following SMILES: c1(*)cc2c(cc1)C(=O)N(c1ccc(Oc3ccc(C(C(F)(F)F)(c4ccc(Oc5ccc(N6C(=O)c7cc(C(*)(C(F)(F)F)C(F)(F)F)ccc7C6=O)cc5)cc4)C(F)(F)F)cc3)cc1)C2=O,234,226
Predict the Tg of the following SMILES: C(F)(F)(C(C(F)(F)F)(*)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(C(F)(F)F)(C(F)(F)F)c4ccc(Oc5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc4)cc3)cc1)C2=O)F,234,226
Predict the Tg of the following SMILES: C(C(c1ccc(Oc2ccc(N3C(=O)c4ccc(C(C(F)(F)F)(*)C(F)(F)F)cc4C3=O)cc2)cc1)(C(F)(F)F)c1ccc(Oc2ccc(N3C(=O)c4cc(*)ccc4C3=O)cc2)cc1)(F)(F)F,234,226
Predict the Tg of the following SMILES: C1(=O)c2ccc(C(C(F)(F)F)(C(F)(F)F)*)cc2C(=O)N1c1ccc(Oc2ccc(C(C(F)(F)F)(C(F)(F)F)c3ccc(Oc4ccc(N5C(=O)c6c(ccc(*)c6)C5=O)cc4)cc3)cc2)cc1,234,226
Predict the Tg of the following SMILES: c1(C(*)(C(F)(F)F)C(F)(F)F)ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(c4ccc(Oc5ccc(N6C(=O)c7c(ccc(*)c7)C6=O)cc5)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc1)C2=O,234,224
Predict the Tg of the following SMILES: c1c(*)ccc2c1C(=O)N(c1ccc(Oc3ccc(C(C(F)(F)F)(C(F)(F)F)c4ccc(Oc5ccc(N6C(=O)c7ccc(C(*)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,234,226
Predict the Tg of the following SMILES: c1c(Oc2ccc(N3C(=O)c4c(ccc(*)c4)C3=O)cc2)ccc(C(C(F)(F)F)(c2ccc(Oc3ccc(N4C(=O)c5c(ccc(C(C(F)(F)F)(C(F)(F)F)*)c5)C4=O)cc3)cc2)C(F)(F)F)c1,234,226
Predict the Tg of the following SMILES: C1(=O)N(c2ccc(Oc3ccc(C(c4ccc(Oc5ccc(N6C(=O)c7c(cc(C(*)(C(F)(F)F)C(F)(F)F)cc7)C6=O)cc5)cc4)(C(F)(F)F)C(F)(F)F)cc3)cc2)C(=O)c2ccc(*)cc21,234,226
Predict the Tg of the following SMILES: c12c(ccc(C(C(F)(F)F)(*)C(F)(F)F)c1)C(=O)N(c1ccc(Oc3ccc(C(C(F)(F)F)(c4ccc(Oc5ccc(N6C(=O)c7cc(*)ccc7C6=O)cc5)cc4)C(F)(F)F)cc3)cc1)C2=O,234,226
Predict the Tg of the following SMILES: c1cc(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(C)C5=O)cc3C2=O)ccc1Oc1ccc(C)cc1,272,215
Predict the Tg of the following SMILES: c1c2c(cc(Oc3cc4c(cc3)C(=O)N(C)C4=O)c1)C(=O)N(c1ccc(Oc3ccc(C)cc3)cc1)C2=O,272,285
Predict the Tg of the following SMILES: Cc1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5cc6c(cc5)C(=O)N(C)C6=O)cc4C3=O)cc2)cc1,272,215
Predict the Tg of the following SMILES: O=C1N(C)C(=O)c2ccc(Oc3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(C)cc5)cc3)C4=O)cc21,272,215
Predict the Tg of the following SMILES: O(c1ccc(N2C(=O)c3c(cc(Oc4cc5c(cc4)C(=O)N(C)C5=O)cc3)C2=O)cc1)c1ccc(C)cc1,272,215
Predict the Tg of the following SMILES: c12c(cc(Oc3ccc4c(c3)C(=O)N(C)C4=O)cc1)C(=O)N(c1ccc(Oc3ccc(C)cc3)cc1)C2=O,272,215
Predict the Tg of the following SMILES: c1c(Oc2cc3c(cc2)C(=O)N(C)C3=O)cc2c(c1)C(=O)N(c1ccc(Oc3ccc(C)cc3)cc1)C2=O,272,285
Predict the Tg of the following SMILES: O=C1c2cc(Oc3cc4c(cc3)C(=O)N(c3ccc(Oc5ccc(C)cc5)cc3)C4=O)ccc2C(=O)N1C,272,215
Predict the Tg of the following SMILES: O(c1ccc(C)cc1)c1ccc(N2C(=O)c3ccc(Oc4ccc5c(c4)C(=O)N(C)C5=O)cc3C2=O)cc1,272,215
Predict the Tg of the following SMILES: c1(Oc2ccc(C)cc2)ccc(N2C(=O)c3c(ccc(Oc4cc5c(cc4)C(=O)N(C)C5=O)c3)C2=O)cc1,272,215
Predict the Tg of the following SMILES: c1(C(C)(C)c2ccc(Oc3cc4c(cc3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7c(ccc(*)c7)C6=O)cc5)cc3)C4=O)cc2)cccc(O*)c1,223,224
Predict the Tg of the following SMILES: c1c(Oc2ccc(C(C)(C)c3cc(O*)ccc3)cc2)cc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5cc(*)ccc5C4=O)cc3)cc1)C2=O,223,226.85
Predict the Tg of the following SMILES: C1(=O)N(c2ccc(Oc3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)cc2)C(=O)c2c1ccc(Oc1ccc(C(C)(c3cc(O*)ccc3)C)cc1)c2,223,226
Predict the Tg of the following SMILES: c1c2c(ccc1Oc1ccc(C(C)(C)c3cc(O*)ccc3)cc1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5cc(*)ccc5C4=O)cc3)cc1)C2=O,223,226.85
Predict the Tg of the following SMILES: C1(=O)c2cc(*)ccc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4cc(Oc5ccc(C(C)(C)c6cc(O*)ccc6)cc5)ccc4C3=O)cc2)cc1,223,226.85
Predict the Tg of the following SMILES: c1c(N2C(=O)c3ccc(Oc4ccc(C(C)(c5cccc(O*)c5)C)cc4)cc3C2=O)ccc(Oc2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)c1,223,224
Predict the Tg of the following SMILES: O=C1N(c2ccc(Oc3ccc(N4C(=O)c5c(ccc(Oc6ccc(C(C)(C)c7cc(O*)ccc7)cc6)c5)C4=O)cc3)cc2)C(=O)c2cc(*)ccc21,223,226.85
Predict the Tg of the following SMILES: N1(c2ccc(Oc3ccc(N4C(=O)c5c(cc(Oc6ccc(C(C)(c7cc(O*)ccc7)C)cc6)cc5)C4=O)cc3)cc2)C(=O)c2cc(*)ccc2C1=O,223,226
Predict the Tg of the following SMILES: c1c(Oc2ccc(N3C(=O)c4c(cc(*)cc4)C3=O)cc2)ccc(N2C(=O)c3cc(Oc4ccc(C(C)(C)c5cc(O*)ccc5)cc4)ccc3C2=O)c1,223,226
Predict the Tg of the following SMILES: c1c2c(ccc1Oc1ccc(C(C)(c3cccc(O*)c3)C)cc1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5c(cc(*)cc5)C4=O)cc3)cc1)C2=O,223,226.85
Predict the Tg of the following SMILES: c1c(*)c2c(cc1)C(=O)N(c1cc(S(=O)(=O)c3cccc(N4C(=O)c5c(O*)cccc5C4=O)c3)ccc1)C2=O,241,285
Predict the Tg of the following SMILES: *c1c2c(ccc1)C(=O)N(c1cc(S(c3cc(N4C(=O)c5c(c(O*)ccc5)C4=O)ccc3)(=O)=O)ccc1)C2=O,241,285
Predict the Tg of the following SMILES: c1ccc(S(=O)(=O)c2cccc(N3C(=O)c4c(*)cccc4C3=O)c2)cc1N1C(=O)c2cccc(O*)c2C1=O,241,293
Predict the Tg of the following SMILES: c1c(N2C(=O)c3c(c(*)ccc3)C2=O)cc(S(c2cc(N3C(=O)c4c(O*)cccc4C3=O)ccc2)(=O)=O)cc1,241,285
Predict the Tg of the following SMILES: c12c(c(O*)ccc1)C(=O)N(c1cc(S(=O)(=O)c3cccc(N4C(=O)c5c(*)cccc5C4=O)c3)ccc1)C2=O,241,245
Predict the Tg of the following SMILES: C1(=O)N(c2cccc(S(c3cccc(N4C(=O)c5cccc(O*)c5C4=O)c3)(=O)=O)c2)C(=O)c2c(*)cccc21,241,274
Predict the Tg of the following SMILES: S(c1cccc(N2C(=O)c3cccc(O*)c3C2=O)c1)(=O)(c1cc(N2C(=O)c3cccc(*)c3C2=O)ccc1)=O,241,289
Predict the Tg of the following SMILES: c12c(cccc1*)C(=O)N(c1cc(S(=O)(c3cc(N4C(=O)c5c(cccc5O*)C4=O)ccc3)=O)ccc1)C2=O,241,285
Predict the Tg of the following SMILES: N1(c2cccc(S(c3cccc(N4C(=O)c5c(cccc5*)C4=O)c3)(=O)=O)c2)C(=O)c2c(O*)cccc2C1=O,241,287
Predict the Tg of the following SMILES: O=C1c2c(c(*)ccc2)C(=O)N1c1cc(S(c2cccc(N3C(=O)c4cccc(O*)c4C3=O)c2)(=O)=O)ccc1,241,245
Predict the Tg of the following SMILES: c1c2c(cc(-c3cc4c(cc3)C(=O)N(*)C4=O)c1)C(=O)N(c1ccc(Oc3ccc(P(=O)(c4ccc(Oc5cc(*)ccc5)cc4)c4ccccc4)cc3)cc1)C2=O,241,210
Predict the Tg of the following SMILES: c1cc(N2C(=O)c3c(ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)c3)C2=O)ccc1Oc1ccc(P(c2ccc(Oc3cc(*)ccc3)cc2)(=O)c2ccccc2)cc1,241,232
Predict the Tg of the following SMILES: c1(*)cccc(Oc2ccc(P(=O)(c3ccccc3)c3ccc(Oc4ccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)cc3)cc2)c1,241,232
Predict the Tg of the following SMILES: C1(=O)c2c(ccc(-c3cc4c(cc3)C(=O)N(*)C4=O)c2)C(=O)N1c1ccc(Oc2ccc(P(c3ccc(Oc4cccc(*)c4)cc3)(=O)c3ccccc3)cc2)cc1,241,212.85
Predict the Tg of the following SMILES: c1cc(Oc2ccc(P(c3ccccc3)(=O)c3ccc(Oc4cccc(*)c4)cc3)cc2)ccc1N1C(=O)c2c(cc(-c3cc4c(cc3)C(=O)N(*)C4=O)cc2)C1=O,241,290
Predict the Tg of the following SMILES: N1(*)C(=O)c2c(ccc(-c3cc4c(cc3)C(=O)N(c3ccc(Oc5ccc(P(=O)(c6ccccc6)c6ccc(Oc7cccc(*)c7)cc6)cc5)cc3)C4=O)c2)C1=O,241,215
Predict the Tg of the following SMILES: c1c(*)cc(Oc2ccc(P(=O)(c3ccc(Oc4ccc(N5C(=O)c6cc(-c7ccc8c(c7)C(=O)N(*)C8=O)ccc6C5=O)cc4)cc3)c3ccccc3)cc2)cc1,241,208.85
Predict the Tg of the following SMILES: c1(Oc2ccc(N3C(=O)c4c(ccc(-c5cc6c(cc5)C(=O)N(*)C6=O)c4)C3=O)cc2)ccc(P(c2ccccc2)(=O)c2ccc(Oc3cc(*)ccc3)cc2)cc1,241,210
Predict the Tg of the following SMILES: c1(-c2cc3c(cc2)C(=O)N(*)C3=O)ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(P(c4ccccc4)(=O)c4ccc(Oc5cccc(*)c5)cc4)cc3)cc1)C2=O,241,215
Predict the Tg of the following SMILES: O=C1N(c2ccc(Oc3ccc(P(=O)(c4ccc(Oc5cc(*)ccc5)cc4)c4ccccc4)cc3)cc2)C(=O)c2c1cc(-c1ccc3c(c1)C(=O)N(*)C3=O)cc2,241,215
Predict the Tg of the following SMILES: O=C1c2c(O*)cccc2C(=O)N1c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5c(c(*)ccc5)C4=O)cc3)cc2)cc1,263,226
Predict the Tg of the following SMILES: O=C1c2c(c(*)ccc2)C(=O)N1c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5c(c(O*)ccc5)C4=O)cc3)cc2)cc1,263,226
Predict the Tg of the following SMILES: c1cc(O*)c2c(c1)C(=O)N(c1ccc(Oc3ccc(Oc4ccc(N5C(=O)c6c(*)cccc6C5=O)cc4)cc3)cc1)C2=O,263,226
Predict the Tg of the following SMILES: c1(Oc2ccc(Oc3ccc(N4C(=O)c5c(c(O*)ccc5)C4=O)cc3)cc2)ccc(N2C(=O)c3c(cccc3*)C2=O)cc1,263,245
Predict the Tg of the following SMILES: c1ccc2c(c1*)C(=O)N(c1ccc(Oc3ccc(Oc4ccc(N5C(=O)c6c(cccc6O*)C5=O)cc4)cc3)cc1)C2=O,263,226
Predict the Tg of the following SMILES: c1cc(*)c2c(c1)C(=O)N(c1ccc(Oc3ccc(Oc4ccc(N5C(=O)c6c(cccc6O*)C5=O)cc4)cc3)cc1)C2=O,263,226
Predict the Tg of the following SMILES: c1c2c(c(*)cc1)C(=O)N(c1ccc(Oc3ccc(Oc4ccc(N5C(=O)c6c(cccc6O*)C5=O)cc4)cc3)cc1)C2=O,263,226
Predict the Tg of the following SMILES: C1(=O)N(c2ccc(Oc3ccc(Oc4ccc(N5C(=O)c6c(cccc6*)C5=O)cc4)cc3)cc2)C(=O)c2c(O*)cccc21,263,226
Predict the Tg of the following SMILES: c1ccc2c(c1*)C(=O)N(c1ccc(Oc3ccc(Oc4ccc(N5C(=O)c6cccc(O*)c6C5=O)cc4)cc3)cc1)C2=O,263,226
Predict the Tg of the following SMILES: c1c(N2C(=O)c3c(O*)cccc3C2=O)ccc(Oc2ccc(Oc3ccc(N4C(=O)c5c(c(*)ccc5)C4=O)cc3)cc2)c1,263,206
Predict the Tg of the following SMILES: Fc1c(F)c(Oc2ccc(N3C(=O)c4c(ccc(C(C(F)(F)F)(*)C(F)(F)F)c4)C3=O)cc2)c(F)c(F)c1-c1c(F)c(F)c(Oc2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)c(F)c1F,271.2,226
Predict the Tg of the following SMILES: c1(Oc2c(F)c(F)c(-c3c(F)c(F)c(Oc4ccc(N5C(=O)c6ccc(C(C(F)(F)F)(*)C(F)(F)F)cc6C5=O)cc4)c(F)c3F)c(F)c2F)ccc(N2C(=O)c3ccc(*)cc3C2=O)cc1,271.2,263
Predict the Tg of the following SMILES: c1cc(N2C(=O)c3ccc(*)cc3C2=O)ccc1Oc1c(F)c(F)c(-c2c(F)c(F)c(Oc3ccc(N4C(=O)c5ccc(C(*)(C(F)(F)F)C(F)(F)F)cc5C4=O)cc3)c(F)c2F)c(F)c1F,271.2,263
Predict the Tg of the following SMILES: c1(N2C(=O)c3c(cc(C(C(F)(F)F)(C(F)(F)F)*)cc3)C2=O)ccc(Oc2c(F)c(F)c(-c3c(F)c(F)c(Oc4ccc(N5C(=O)c6c(ccc(*)c6)C5=O)cc4)c(F)c3F)c(F)c2F)cc1,271.2,226
Predict the Tg of the following SMILES: Fc1c(-c2c(F)c(F)c(Oc3ccc(N4C(=O)c5c(ccc(*)c5)C4=O)cc3)c(F)c2F)c(F)c(F)c(Oc2ccc(N3C(=O)c4c(cc(C(*)(C(F)(F)F)C(F)(F)F)cc4)C3=O)cc2)c1F,271.2,226
Predict the Tg of the following SMILES: c1(F)c(-c2c(F)c(F)c(Oc3ccc(N4C(=O)c5c(cc(*)cc5)C4=O)cc3)c(F)c2F)c(F)c(F)c(Oc2ccc(N3C(=O)c4cc(C(C(F)(F)F)(C(F)(F)F)*)ccc4C3=O)cc2)c1F,271.2,226
Predict the Tg of the following SMILES: O=C1N(c2ccc(Oc3c(F)c(F)c(-c4c(F)c(F)c(Oc5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)c(F)c4F)c(F)c3F)cc2)C(=O)c2ccc(C(C(F)(F)F)(C(F)(F)F)*)cc21,271.2,263
Predict the Tg of the following SMILES: *C(C(F)(F)F)(C(F)(F)F)c1ccc2c(c1)C(=O)N(c1ccc(Oc3c(F)c(F)c(-c4c(F)c(F)c(Oc5ccc(N6C(=O)c7cc(*)ccc7C6=O)cc5)c(F)c4F)c(F)c3F)cc1)C2=O,271.2,226
Predict the Tg of the following SMILES: c1(Oc2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)c(F)c(F)c(-c2c(F)c(F)c(Oc3ccc(N4C(=O)c5cc(C(C(F)(F)F)(*)C(F)(F)F)ccc5C4=O)cc3)c(F)c2F)c(F)c1F,271.2,226
Predict the Tg of the following SMILES: c1cc(N2C(=O)c3ccc(C(*)(C(F)(F)F)C(F)(F)F)cc3C2=O)ccc1Oc1c(F)c(F)c(-c2c(F)c(F)c(Oc3ccc(N4C(=O)c5c(cc(*)cc5)C4=O)cc3)c(F)c2F)c(F)c1F,271.2,263
Predict the Tg of the following SMILES: c1(C(F)(F)F)cc(N2C(=O)c3ccc(*)cc3C2=O)ccc1-c1c(C(F)(F)F)cc(N2C(=O)c3c(ccc(S(=O)(*)=O)c3)C2=O)cc1,320,283
Predict the Tg of the following SMILES: c1(N2C(=O)c3ccc(*)cc3C2=O)ccc(-c2c(C(F)(F)F)cc(N3C(=O)c4ccc(S(*)(=O)=O)cc4C3=O)cc2)c(C(F)(F)F)c1,320,283
Predict the Tg of the following SMILES: C1(=O)N(c2cc(C(F)(F)F)c(-c3c(C(F)(F)F)cc(N4C(=O)c5cc(*)ccc5C4=O)cc3)cc2)C(=O)c2ccc(S(=O)(*)=O)cc21,320,287
Predict the Tg of the following SMILES: c1(N2C(=O)c3ccc(*)cc3C2=O)ccc(-c2c(C(F)(F)F)cc(N3C(=O)c4c(cc(S(=O)(=O)*)cc4)C3=O)cc2)c(C(F)(F)F)c1,320,289
Predict the Tg of the following SMILES: c1c(*)cc2c(c1)C(=O)N(c1cc(C(F)(F)F)c(-c3c(C(F)(F)F)cc(N4C(=O)c5cc(S(*)(=O)=O)ccc5C4=O)cc3)cc1)C2=O,320,287
Predict the Tg of the following SMILES: C1(=O)N(c2cc(C(F)(F)F)c(-c3ccc(N4C(=O)c5cc(S(=O)(=O)*)ccc5C4=O)cc3C(F)(F)F)cc2)C(=O)c2cc(*)ccc21,320,287
Predict the Tg of the following SMILES: *S(=O)(c1cc2c(cc1)C(=O)N(c1cc(C(F)(F)F)c(-c3c(C(F)(F)F)cc(N4C(=O)c5cc(*)ccc5C4=O)cc3)cc1)C2=O)=O,320,285
Predict the Tg of the following SMILES: c1c(*)cc2c(c1)C(=O)N(c1ccc(-c3ccc(N4C(=O)c5c(cc(S(=O)(=O)*)cc5)C4=O)cc3C(F)(F)F)c(C(F)(F)F)c1)C2=O,320,279
Predict the Tg of the following SMILES: O=C1N(c2cc(C(F)(F)F)c(-c3c(C(F)(F)F)cc(N4C(=O)c5c(cc(S(=O)(=O)*)cc5)C4=O)cc3)cc2)C(=O)c2c1ccc(*)c2,320,283
